tradeday,datetime,last,openint,volume,turnover
2025-07-23,2025-07-22 20:59:00.500,9442,476060,467,66141210
2025-07-23,2025-07-22 21:00:00.500,9444,476242,773,109487130
2025-07-23,2025-07-22 21:00:01.000,9447,476198,1788,253303395
2025-07-23,2025-07-22 21:00:01.500,9449,476127,2321,328857945
2025-07-23,2025-07-22 21:27:47.000,9496,485409,167878,23888733930
2025-07-23,2025-07-22 21:27:47.500,9496,485405,167914,23893861980
2025-07-23,2025-07-22 21:27:55.500,9499,485378,168469,23972926140
2025-07-23,2025-07-22 21:27:56.000,9498,485405,168502,23977627830
2025-07-23,2025-07-22 21:27:56.500,9497,485410,168588,23989881300
2025-07-23,2025-07-22 22:41:57.000,9450,485028,455902,64651193910
2025-07-23,2025-07-22 22:42:39.000,9451,484820,457345,64855732005
2025-07-23,2025-07-22 22:42:39.500,9451,484785,457411,64865087595
2025-07-23,2025-07-22 23:59:13.500,9473,488186,577862,81962878590
2025-07-23,2025-07-22 23:59:14.000,9473,488203,577883,81965862420
2025-07-23,2025-07-22 23:59:14.500,9472,488203,577884,81966004500
2025-07-23,2025-07-22 23:59:52.000,9475,488073,579582,82207330350
2025-07-23,2025-07-22 23:59:55.500,9475,488078,579617,82212304665
2025-07-23,2025-07-22 23:59:56.000,9474,488077,579626,82213583655
2025-07-23,2025-07-22 23:59:56.500,9475,488077,579635,82214862765
2025-07-23,2025-07-22 23:59:57.000,9475,488077,579635,82214862765
2025-07-23,2025-07-22 23:59:57.500,9475,488077,579635,82214862765
2025-07-23,2025-07-22 23:59:58.000,9474,488080,579642,82215857625
2025-07-23,2025-07-22 23:59:58.500,9474,488086,579664,82218984120
2025-07-23,2025-07-22 23:59:59.000,9474,488101,579685,82221968430
2025-07-23,2025-07-22 23:59:59.500,9474,488101,579685,82221968430
2025-07-23,2025-07-23 00:00:00.000,9475,488091,579718,82226658135
2025-07-23,2025-07-23 00:00:00.500,9475,488093,579732,82228647750
2025-07-23,2025-07-23 00:00:01.000,9474,488093,579749,82231063755
2025-07-23,2025-07-23 00:00:01.500,9475,488093,579750,82231205880
2025-07-23,2025-07-23 00:00:05.000,9474,488148,579934,82257356580
2025-07-23,2025-07-23 00:00:05.500,9474,488148,579937,82257782940
2025-07-23,2025-07-23 00:00:06.000,9475,488147,579949,82259488440
2025-07-23,2025-07-23 00:00:09.000,9474,488190,580011,82268299365
2025-07-23,2025-07-23 00:00:09.500,9474,488189,580012,82268441475
2025-07-23,2025-07-23 00:00:10.000,9474,488189,580015,82268867775
2025-07-23,2025-07-23 00:00:10.500,9474,488195,580021,82269720435
2025-07-23,2025-07-23 00:10:59.500,9479,488812,588609,83490154995
2025-07-23,2025-07-23 00:11:00.000,9479,488812,588613,83490723735
2025-07-23,2025-07-23 00:11:00.500,9479,488810,588618,83491434660
2025-07-23,2025-07-23 00:11:03.500,9482,488797,588931,83535947190
2025-07-23,2025-07-23 00:11:04.000,9483,488780,589010,83547184005
2025-07-23,2025-07-23 00:11:04.500,9483,488762,589069,83555576400
2025-07-23,2025-07-23 00:11:05.000,9482,488768,589087,83558136750
2025-07-23,2025-07-23 00:11:05.500,9483,488720,589208,83575346685
2025-07-23,2025-07-23 00:14:24.000,9481,489199,592456,84037308390
2025-07-23,2025-07-23 00:14:24.500,9481,489200,592457,84037450605
2025-07-23,2025-07-23 00:14:25.000,9482,489202,592461,84038019495
2025-07-23,2025-07-23 00:14:29.500,9483,489185,592520,84046411170
2025-07-23,2025-07-23 00:14:30.000,9482,489186,592522,84046695630
2025-07-23,2025-07-23 00:14:30.500,9483,489186,592523,84046837875
2025-07-23,2025-07-23 00:14:31.000,9482,489186,592526,84047264580
2025-07-23,2025-07-23 00:59:25.500,9482,487682,621061,88105060785
2025-07-23,2025-07-23 00:59:26.000,9481,487683,621063,88105345215
2025-07-23,2025-07-23 00:59:35.000,9481,487686,621155,88118428515
2025-07-23,2025-07-23 00:59:35.500,9481,487686,621158,88118855160
2025-07-23,2025-07-23 00:59:36.000,9481,487686,621158,88118855160
2025-07-23,2025-07-23 00:59:49.500,9482,487705,621220,88127672835
2025-07-23,2025-07-23 00:59:50.000,9482,487705,621220,88127672835
2025-07-23,2025-07-23 00:59:50.500,9482,487705,621220,88127672835
2025-07-23,2025-07-23 00:59:51.000,9482,487705,621220,88127672835
2025-07-23,2025-07-23 00:59:51.500,9481,487703,621227,88128668355
2025-07-23,2025-07-23 00:59:52.000,9481,487703,621227,88128668355
2025-07-23,2025-07-23 00:59:52.500,9481,487700,621232,88129379430
2025-07-23,2025-07-23 00:59:53.000,9481,487699,621233,88129521645
2025-07-23,2025-07-23 00:59:59.000,9482,487735,621293,88138054650
2025-07-23,2025-07-23 00:59:59.500,9481,487733,621295,88138339080
2025-07-23,2025-07-23 01:00:00.000,9481,487733,621305,88139761230
2025-07-23,2025-07-23 01:00:00.500,9481,487745,621318,88141610205
2025-07-23,2025-07-23 01:00:01.000,9481,487748,621321,88142036850
2025-07-23,2025-07-23 01:00:01.500,9481,487756,621329,88143174570
2025-07-23,2025-07-23 01:00:29.500,9483,487797,621551,88174751565
2025-07-23,2025-07-23 01:00:30.000,9484,487798,621552,88174893825
2025-07-23,2025-07-23 01:00:30.500,9483,487799,621553,88175036070
2025-07-23,2025-07-23 01:00:31.000,9483,487800,621554,88175178315
2025-07-23,2025-07-23 01:00:31.500,9483,487800,621554,88175178315
2025-07-23,2025-07-23 01:00:32.000,9483,487800,621554,88175178315
2025-07-23,2025-07-23 01:10:52.000,9472,487694,627610,89036311560
2025-07-23,2025-07-23 01:10:52.500,9472,487694,627635,89039863560
2025-07-23,2025-07-23 01:10:53.000,9472,487694,627647,89041568520
2025-07-23,2025-07-23 01:10:53.500,9472,487691,627661,89043557640
2025-07-23,2025-07-23 01:10:54.000,9472,487691,627664,89043983880
2025-07-23,2025-07-23 01:10:54.500,9471,487689,627667,89044410105
2025-07-23,2025-07-23 01:10:57.000,9472,487658,627723,89052366480
2025-07-23,2025-07-23 01:10:57.500,9473,487656,627727,89052934815
2025-07-23,2025-07-23 01:10:58.000,9473,487656,627727,89052934815
2025-07-23,2025-07-23 01:10:58.500,9473,487656,627728,89053076910
2025-07-23,2025-07-23 01:10:59.000,9472,487636,627778,89060180910
2025-07-23,2025-07-23 01:10:59.500,9472,487636,627781,89060607150
2025-07-23,2025-07-23 01:11:00.000,9472,487621,627810,89064727485
2025-07-23,2025-07-23 01:11:00.500,9472,487621,627810,89064727485
2025-07-23,2025-07-23 01:11:01.000,9472,487621,627811,89064869565
2025-07-23,2025-07-23 01:11:01.500,9472,487620,627813,89065153725
2025-07-23,2025-07-23 01:11:02.000,9472,487620,627813,89065153725
2025-07-23,2025-07-23 01:11:56.500,9469,487529,629664,89328049440
2025-07-23,2025-07-23 01:11:57.000,9469,487529,629668,89328617565
2025-07-23,2025-07-23 01:11:57.500,9469,487526,629680,89330321985
2025-07-23,2025-07-23 01:27:12.500,9476,486852,639424,90714864630
2025-07-23,2025-07-23 01:27:14.500,9477,486853,639427,90715291065
2025-07-23,2025-07-23 01:27:15.000,9476,486844,639438,90716854605
2025-07-23,2025-07-23 01:27:15.500,9476,486844,639438,90716854605
2025-07-23,2025-07-23 01:27:16.000,9476,486842,639443,90717565305
2025-07-23,2025-07-23 02:00:23.000,9470,486041,647594,91875852075
2025-07-23,2025-07-23 02:00:24.500,9470,486042,647602,91876988475
2025-07-23,2025-07-23 02:00:25.000,9470,486042,647602,91876988475
2025-07-23,2025-07-23 02:00:27.000,9470,486040,647608,91877840805
2025-07-23,2025-07-23 02:00:27.500,9470,486039,647609,91877982855
2025-07-23,2025-07-23 02:00:28.500,9470,486039,647609,91877982855
2025-07-23,2025-07-23 02:00:29.000,9470,486037,647611,91878266955
2025-07-23,2025-07-23 02:00:29.500,9470,486036,647612,91878409005
2025-07-23,2025-07-23 02:00:30.000,9470,486036,647612,91878409005
2025-07-23,2025-07-23 02:00:30.500,9471,486035,647615,91878835185
2025-07-23,2025-07-23 02:29:43.000,9457,483404,659312,93539185365
2025-07-23,2025-07-23 02:29:43.500,9457,483400,659316,93539752785
2025-07-23,2025-07-23 02:29:44.000,9458,483405,659329,93541597080
2025-07-23,2025-07-23 02:29:44.500,9457,483403,659355,93545285310
2025-07-23,2025-07-23 02:29:51.000,9454,483301,659621,93583011105
2025-07-23,2025-07-23 02:29:51.500,9454,483296,659630,93584287335
2025-07-23,2025-07-23 02:29:55.500,9454,483253,659763,93603147090
2025-07-23,2025-07-23 02:29:57.500,9455,483213,659849,93615344715
2025-07-23,2025-07-23 02:29:58.000,9455,483206,659860,93616904850
2025-07-23,2025-07-23 02:29:58.500,9454,483184,659884,93620308275
2025-07-23,2025-07-23 02:29:59.000,9453,483180,659888,93620875500
2025-07-23,2025-07-23 02:29:59.500,9454,483176,659901,93622718955
2025-07-23,2025-07-23 02:30:00.000,9453,483174,659905,93623286135
2025-07-23,2025-07-23 02:30:00.500,9453,483174,659905,93623286135
2025-07-23,2025-07-23 09:00:00.500,9469,483010,660875,93761068845
2025-07-23,2025-07-23 09:00:01.000,9472,482829,661495,93849129555
2025-07-23,2025-07-23 09:00:01.500,9471,482756,661715,93880376610
2025-07-23,2025-07-23 09:00:02.000,9470,482732,661837,93897705075
2025-07-23,2025-07-23 09:00:02.500,9468,482723,661997,93920424945
2025-07-23,2025-07-23 09:00:04.000,9468,482693,662387,93975804915
2025-07-23,2025-07-23 09:00:04.500,9468,482746,662529,93995970345
2025-07-23,2025-07-23 09:00:05.000,9467,482750,662592,94004916495
2025-07-23,2025-07-23 09:00:05.500,9466,482770,662680,94017413385
2025-07-23,2025-07-23 09:02:21.000,9470,481613,672503,95412329160
2025-07-23,2025-07-23 09:02:21.500,9470,481611,672511,95413465665
2025-07-23,2025-07-23 09:02:22.000,9470,481605,672518,95414460030
2025-07-23,2025-07-23 09:02:22.500,9470,481591,672550,95419006050
2025-07-23,2025-07-23 09:02:23.000,9470,481583,672559,95420284545
2025-07-23,2025-07-23 09:02:23.500,9471,481580,672594,95425256670
2025-07-23,2025-07-23 09:02:24.000,9471,481582,672622,95429234625
2025-07-23,2025-07-23 09:56:27.500,9461,478410,760184,107855831775
2025-07-23,2025-07-23 09:56:28.000,9461,478411,760201,107858244330
2025-07-23,2025-07-23 09:56:28.500,9461,478377,760244,107864346675
2025-07-23,2025-07-23 09:56:46.500,9463,478357,760692,107927931360
